DMI,density_z4,R_IRI,DMI_z2_x,density_z2,L_IRI,index,DMI_id,Density_x_y,R_IRI_y,DMI_z2_y,Density_y_y,L_IRI_y,DMI_fwd,D0,D48,SCI,BDI,BCI,Latitude,Longitude,Patching_color_map,Patching_depth,Patching_color
444,1.069,19.0,444,0.0,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670967,-87.165657,Good_condition,1,green
450,0.136,65.5,450,2.037,75.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670952,-87.165665,Surface_patching_warning,2,yellow
456,0.0,68.4,456,0.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670937,-87.165672,Good_condition,1,green
462,0.788,15.0,462,0.006,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670921,-87.165672,Good_condition,1,green
468,2.052,131.3,468,1.342,77.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670906,-87.16568,Surface_patching_warning,2,yellow
474,0.939,10.4,474,0.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670891,-87.165688,Good_condition,1,green
480,0.97,12.1,480,0.907,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670876,-87.165688,Good_condition,1,green
486,0.209,11.0,486,0.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670856,-87.165695,Surface_patching_warning,2,yellow
492,1.983,81.7,492,1.559,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670841,-87.165703,Surface_patching_warning,2,yellow
498,0.0,5.8,498,0.0,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67083,-87.165703,Good_condition,1,green
504,0.0,43.5,504,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670811,-87.16571,Good_condition,1,green
510,0.0,13.9,510,0.613,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670795,-87.165718,Good_condition,1,green
516,0.507,35.9,516,1.614,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67078,-87.165726,Good_condition,1,green
522,0.478,69.6,522,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670765,-87.165726,Good_condition,1,green
528,0.0,13.1,528,0.956,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67075,-87.165733,Good_condition,1,green
534,0.0,6.6,534,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670734,-87.165741,Good_condition,1,green
540,0.192,11.9,540,1.165,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670715,-87.165741,Good_condition,1,green
546,1.034,89.7,546,1.186,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6707,-87.165749,Surface_patching_warning,2,yellow
552,0.0,12.8,552,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670685,-87.165756,Good_condition,1,green
558,0.0,24.3,558,0.764,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67067,-87.165756,Good_condition,1,green
564,0.161,29.2,564,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670654,-87.165764,Good_condition,1,green
570,2.166,17.4,570,1.729,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670639,-87.165771,Good_condition,1,green
576,0.883,13.1,576,0.413,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670624,-87.165771,Good_condition,1,green
582,1.199,39.4,582,1.307,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670609,-87.165779,Good_condition,1,green
588,0.441,13.3,588,0.0,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670589,-87.165787,Good_condition,1,green
594,0.0,18.4,594,0.0,58.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670574,-87.165787,Good_condition,1,green
600,1.711,25.9,600,1.427,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670559,-87.165794,Good_condition,1,green
606,1.493,28.2,606,0.012,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670544,-87.165802,Good_condition,1,green
612,0.556,36.7,612,0.742,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670528,-87.16581,Good_condition,1,green
618,0.319,30.7,618,0.0,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670513,-87.16581,Good_condition,1,green
